"Label","Definition Name","ItemCode","Quantity","Notes","A[mm]","A1[mm]","B[mm]","C[mm]","D[mm]","E[mm]","F[mm]","G[mm]","G1[mm]","H[mm]","L[mm]","R[mm]","Angle[°]","Tag","Area[m2]","Air Flow[m3/h]","Air Speed[m/s]","Mounting Height[m]","Pressure Loss[Pa]"
"EQ_0","-CRD Rectangular Duct","CRD","1","Motorized Damper","600","","200","","","","","","","","150","","","- DuctWork Equipment AHU","0.24","3000","6.944444","0","0"
"F_00","-REL Angle_90° R_100 A_940 A1_600 B_940 G_25 G1_25 Area_2.8899","REL","1","_","940","600","940","","","","","25","25","","","100","90","- DuctWork FreshAir","2.8899","9000","4.432624","0","0"
"F_01","-CRD Rectangular Duct","CRD","1","LF","600","","940","","","","","","","","514","","","- DuctWork FreshAir","1.58312","9000","4.432624","0","0"
"F_02","-REL Angle_90° R_100 A_940 A1_600 B_600 G_25 G1_25 Area_2.3142","REL","1","_","940","600","600","","","","","25","25","","","100","90","- DuctWork FreshAir","2.3142","9000","6.944444","0","0"
"F_03","-CRD Rectangular Duct","CRD","4","_","600","","600","","","","","","","","1500","","","- DuctWork FreshAir","3.6","9000","6.944444","0","0"
"F_04","-CRD Rectangular Duct","CRD","1","LF","600","","600","","","","","","","","250","","","- DuctWork FreshAir","0.6","9000","6.944444","0","0"
"F_05","-REL Angle_90° R_100 A_600 A1_600 B_600 G_25 G1_25 Area_1.6172","REL","1","_","600","600","600","","","","","25","25","","","100","90","- DuctWork FreshAir","1.6172","9000","6.944444","0","0"
"F_06","-REP A_600 B_600 C_200 D_600 E_100 H_100 G_25 G1_25 L_800 Area_2.327","REP","1","_","600","","600","200","600","100","","25","25","100","800","","","- DuctWork FreshAir","2.327","9000","6.944444","0","0"
"F_07","-CRD Rectangular Duct","CRD","1","_","600","","200","","","","","","","","500","","","- DuctWork FreshAir","0.8","3000","6.944444","0","0"
"F_08","-REL Angle_45° R_100 A_600 A1_800 B_600 G_25 G1_25 Area_1.0404","REL","1","_","600","800","600","","","","","25","25","","","100","45","- DuctWork FreshAir","1.0404","9000","6.944444","0","0"
"F_09","-CRD Rectangular Duct","CRD","8","_","600","","800","","","","","","","","1500","","","- DuctWork FreshAir","4.2","9000","5.208333","0","0"
"F_10","-REL Angle_45° R_100 A_800 A1_800 B_600 G_25 G1_25 Area_1.2311","REL","1","_","800","800","600","","","","","25","25","","","100","45","- DuctWork FreshAir","1.2311","9000","5.208333","0","0"
"F_11","-RED A_600 B_800 C_800 D_600 E_-100 F_100 G_25 G1_25 L_250 Area_0.7661","RED","1","_","600","","800","800","600","-100","100","25","25","","250","","","- DuctWork FreshAir","0.7661","9000","5.208333","0","0"
"F_12","-REL Angle_90° R_100 A_600 A1_600 B_800 G_25 G1_25 Area_1.8878","REL","2","_","600","600","800","","","","","25","25","","","100","90","- DuctWork FreshAir","1.8878","9000","5.208333","0","0"
"F_13","-RED A_800 B_600 C_800 D_1200 E_0 F_0 G_25 G1_25 L_500 Area_1.94","RED","1","_","800","","600","800","1200","0","0","25","25","","500","","","- DuctWork FreshAir","1.94","9000","5.208333","0","0"
"F_14","-CRD Rectangular Duct","CRD","1","GRILLE","800","","1200","","","","","","","","100","","","- DuctWork Equipment AHU","0.4","9000","2.604167","0","0"